,lstm_units,dropout_prob,rmse,mape
0,30,0.1,0.24543843246261668,4.167157460051241
1,30,0.2,0.25808698405247604,4.174360049423253
2,30,0.3,0.2715195018118181,4.141371467874297
3,30,0.5,0.2928593272949224,4.095244452299958
4,50,0.1,0.24205683704984515,4.285313769600517
5,50,0.2,0.24849436013545684,4.254029241930505
6,50,0.3,0.24904600535043167,4.159178658275485
7,50,0.5,0.26367686840297816,4.005039713452758
8,80,0.1,0.2259694580608789,4.198622003720064
9,80,0.2,0.2586704875874328,4.3737142636558906
10,80,0.3,0.25218491911842156,4.286839850175635
11,80,0.5,0.2522269609502409,4.223085324070352
12,120,0.1,0.22572197422936224,4.200921469815416
13,120,0.2,0.23526368809599538,4.255157192675999
14,120,0.3,0.22965350196472742,4.176312064691688
15,120,0.5,0.2425531374838348,4.040325155733813
16,150,0.1,0.22970319360046412,4.2740822780537275
17,150,0.2,0.22027767895059747,4.155410023665776
18,150,0.3,0.23587090780463507,4.265583280347373
19,150,0.5,0.2403898093477523,4.152621736302875
20,200,0.1,0.23376769137526768,4.317644648553232
21,200,0.2,0.21854176819785623,4.182954455753342
22,200,0.3,0.23832166596356796,4.296753230479472
23,200,0.5,0.23575402577319757,4.094301692645322
24,250,0.1,0.23131476014733862,4.241946345634492
25,250,0.2,0.2192290213556843,4.138363074628978
26,250,0.3,0.23224599032002005,4.278352184734917
27,250,0.5,0.23833608792801358,4.049488241571193
28,300,0.1,0.2368658270574081,4.334593997734042
29,300,0.2,0.2243835107221534,4.234831598623598
30,300,0.3,0.2379729279119191,4.268936823407917
31,300,0.5,0.25045167990564554,4.304572766779438
32,350,0.1,0.21705210166444427,4.180807475897766
33,350,0.2,0.21631938612262264,4.14944312474342
34,350,0.3,0.23038240704691956,4.197262026977542
35,350,0.5,0.23359868508768353,4.145929741287296
36,400,0.1,0.25747899120772527,4.36157985791955
37,400,0.2,0.2206416477706897,4.222754571222789
38,400,0.3,0.23450544790863856,4.210338166730727
39,400,0.5,0.23239397037886592,4.123811612284299
