,N,rmse,mape
0,6,0.23688693306521288,4.2211671690385515
1,9,0.3144756263778362,4.0659720335427085
2,12,0.44088955039857786,4.132311574068754
3,15,0.4627826001341951,4.023771900876015
4,18,0.4313394077757705,3.854634584655737
5,21,0.44829317625235615,3.9504389237990893
6,24,0.5133239624738374,4.2164520915591535
7,27,0.503681886309192,4.274553352194492
8,30,0.5200133237623356,4.468111100079574
9,33,0.4530280780851367,4.2576335109262855
10,36,0.40325281560819676,4.109224258058746
11,39,0.4621031481317602,4.392111977044685
12,42,0.4566199371069924,4.350531038268157
13,45,0.42574033787587984,4.23312081911237
14,48,0.45488300130036524,4.172301919194489
15,51,0.4244712391581589,4.082037198039217
16,54,0.4042139430251299,4.056892336394891
17,57,0.36159016610551964,3.642251161155467
18,60,0.4067027381209626,2.8701287133342164
